subj_id,rt,response,task_type
pilot_3,0.609764307646,1.0,Detect
pilot_3,0.594260770176,1.0,Detect
pilot_3,0.63613157854,1.0,Detect
pilot_3,0.818688882537,1.0,Detect
pilot_3,0.66446565586,1.0,Detect
pilot_3,0.632344413738,1.0,Detect
pilot_3,0.617952759954,1.0,Detect
pilot_3,0.530783960499,1.0,Detect
pilot_3,0.617017798531,1.0,Detect
pilot_3,0.671272810567,1.0,Detect
pilot_3,0.584614225059,1.0,Detect
pilot_3,0.561972817977,1.0,Detect
pilot_3,0.6617978178,1.0,Detect
pilot_3,0.618884229436,1.0,Detect
pilot_3,0.728682514171,1.0,Detect
pilot_3,0.708663919064,1.0,Detect
pilot_3,0.697561965568,1.0,Detect
pilot_3,0.583715667859,1.0,Detect
pilot_3,0.657722813743,1.0,Detect
pilot_3,0.773446345707,1.0,Detect
pilot_3,0.748480442086,1.0,Detect
pilot_3,0.727109277259,1.0,Detect
pilot_3,0.840980276562,1.0,Detect
pilot_3,0.885825808753,1.0,Detect
pilot_3,0.816048620021,1.0,Detect
pilot_3,0.863831377366,1.0,Detect
pilot_3,0.729859295612,1.0,Detect
pilot_3,0.773628871877,1.0,Detect
pilot_3,0.873246539117,1.0,Detect
pilot_3,0.999673888782,1.0,Detect
pilot_3,0.740009352436,1.0,Detect
pilot_3,0.65539936401,1.0,Detect
pilot_3,0.608136546809,1.0,Detect
pilot_3,0.638940261102,1.0,Detect
pilot_3,0.693113218842,1.0,Detect
pilot_3,0.686879447867,1.0,Detect
pilot_3,0.686879888684,1.0,Detect
pilot_3,0.629279472574,1.0,Detect
pilot_3,0.633317099717,1.0,Detect
pilot_3,0.658113446485,1.0,Detect
pilot_3,0.625924201484,1.0,Detect
pilot_3,0.624397370986,1.0,Detect
pilot_3,0.606423137031,1.0,Detect
pilot_3,0.597231063253,1.0,Detect
pilot_3,0.643703708645,1.0,Detect
pilot_3,0.57641440294,1.0,Detect
pilot_3,0.780544693969,1.0,Detect
pilot_3,0.775293334464,1.0,Detect
pilot_3,0.997539966755,1.0,Detect
pilot_3,0.668807532347,1.0,Detect
pilot_3,0.811902682308,1.0,Detect
pilot_3,0.661064261059,1.0,Detect
pilot_3,0.670607823871,1.0,Detect
pilot_3,0.778978518589,1.0,Detect
pilot_3,0.568411998744,1.0,Detect
pilot_3,0.690818556988,1.0,Detect
pilot_3,0.724053926406,1.0,Detect
pilot_3,0.835492247774,1.0,Detect
pilot_3,0.704769542031,1.0,Detect
pilot_3,0.647992066013,1.0,Detect
pilot_3,0.614051174216,1.0,Detect
pilot_3,0.610988149489,1.0,Detect
pilot_3,0.663393683515,1.0,Detect
pilot_3,0.647136054466,1.0,Detect
pilot_3,0.647539298647,1.0,Detect
pilot_3,0.618334167671,1.0,Detect
pilot_3,0.663459394435,1.0,Detect
pilot_3,0.666596703935,1.0,Detect
pilot_3,0.622027340843,1.0,Detect
pilot_3,0.721992681179,1.0,Detect
pilot_3,0.847110981584,1.0,Detect
pilot_3,0.726872040812,1.0,Detect
pilot_3,0.575186541164,1.0,Detect
pilot_3,0.768932617228,1.0,Detect
pilot_3,0.795278951287,1.0,Detect
pilot_3,0.681627182375,1.0,Detect
pilot_3,0.657111556162,1.0,Detect
pilot_3,0.728915091517,1.0,Detect
pilot_3,0.815090786975,1.0,Detect
pilot_3,0.763064023888,1.0,Detect
pilot_3,0.851864877284,1.0,Detect
pilot_3,0.841314327059,1.0,Detect
pilot_3,0.938273837255,1.0,Detect
pilot_3,0.868950057882,1.0,Detect
pilot_3,0.718856466834,1.0,Detect
pilot_3,0.816361071229,1.0,Detect
pilot_3,0.841246645348,1.0,Detect
pilot_3,0.734523813961,1.0,Detect
pilot_3,0.473751126217,1.0,Detect
pilot_3,1.00797253528,1.0,Detect
pilot_3,0.648327583664,1.0,Detect
pilot_3,0.868927456253,1.0,Detect
pilot_3,0.631517528534,1.0,Detect
