,id,hemifield_rel,rt,result,task
0,pilot_3,1,0.609764307646,1,Detect
1,pilot_3,1,0.66446565586,1,Detect
2,pilot_3,1,0.632344413738,1,Detect
3,pilot_3,1,0.617017798531,1,Detect
4,pilot_3,0,0.671272810567,1,Detect
5,pilot_3,1,0.561972817977,1,Detect
6,pilot_3,1,0.6617978178,1,Detect
7,pilot_3,1,0.708663919064,1,Detect
8,pilot_3,0,0.697561965568,1,Detect
9,pilot_3,0,0.773446345707,1,Detect
10,pilot_3,0,0.748480442086,1,Detect
11,pilot_3,0,0.727109277259,1,Detect
12,pilot_3,0,0.729859295612,1,Detect
13,pilot_3,0,0.999673888782,1,Detect
14,pilot_3,1,0.740009352436,1,Detect
15,pilot_3,1,0.65539936401,1,Detect
16,pilot_3,1,0.608136546809,1,Detect
17,pilot_3,0,0.693113218842,1,Detect
18,pilot_3,0,0.686879888684,1,Detect
19,pilot_3,0,0.629279472574,1,Detect
20,pilot_3,1,0.658113446485,1,Detect
21,pilot_3,0,0.624397370986,1,Detect
22,pilot_3,1,0.606423137031,1,Detect
23,pilot_3,1,0.597231063253,1,Detect
24,pilot_3,0,0.643703708645,1,Detect
25,pilot_3,1,0.661064261059,1,Detect
26,pilot_3,1,0.835492247774,1,Detect
27,pilot_3,0,0.704769542031,1,Detect
28,pilot_3,0,0.647992066013,1,Detect
29,pilot_3,1,0.614051174216,1,Detect
30,pilot_3,0,0.610988149489,1,Detect
31,pilot_3,1,0.618334167671,1,Detect
32,pilot_3,1,0.795278951287,1,Detect
33,pilot_3,0,0.728915091517,1,Detect
34,pilot_3,0,0.938273837255,1,Detect
35,pilot_3,0,0.841246645348,1,Detect
36,pilot_3,1,0.734523813961,1,Detect
37,pilot_3,0,0.66526077794,1,Detect
38,pilot_3,1,0.578703335239,1,Detect
39,pilot_3,1,0.756246471352,1,Detect
40,pilot_3,0,0.671252216081,1,Detect
41,pilot_3,1,0.740992118599,1,Detect
42,pilot_3,1,0.693519067334,1,Detect
43,pilot_3,0,0.645311358518,1,Detect
44,pilot_3,0,0.706833727209,1,Detect
45,pilot_3,1,0.764054181578,1,Detect
46,pilot_3,0,0.676319543443,1,Detect
47,pilot_3,1,0.899311177816,1,Detect
48,pilot_3,0,0.600182585462,1,Detect
49,pilot_3,1,0.530270714129,1,Detect
50,pilot_3,1,0.60887055672,1,Detect
51,pilot_3,0,0.720971186003,1,Detect
52,pilot_3,1,0.68863653375,1,Detect
53,pilot_3,0,0.673015455041,1,Detect
54,pilot_3,1,0.695077748836,1,Detect
55,pilot_3,0,0.648195027847,1,Detect
